order,name,height(cm)
1,George Washington,189
2,John Adams,170
3,Thomas Jefferson,189
4,James Madison,163
5,James Monroe,183
6,John Quincy Adams,171
7,Andrew Jackson,185
8,Martin Van Buren,168
9,William Henry Harrison,173
10,John Tyler,183
11,James K. Polk,173
12,Zachary Taylor,173
13,Millard Fillmore,175
14,Franklin Pierce,178
15,James Buchanan,183
16,Abraham Lincoln,193
17,Andrew Johnson,178
18,Ulysses S. Grant,173
19,Rutherford B. Hayes,174
20,James A. Garfield,183
21,Chester A. Arthur,183
22,Benjamin Harrison,168
23,William McKinley,170
24,Theodore Roosevelt,178
25,William Howard Taft,182
26,Woodrow Wilson,180
27,Warren G. Harding,183
28,Calvin Coolidge,178
29,Herbert Hoover,182
30,Franklin D. Roosevelt,188
31,Harry S. Truman,175
32,Dwight D. Eisenhower,179
33,John F. Kennedy,183
34,Lyndon B. Johnson,193
35,Richard Nixon,182
36,Gerald Ford,183
37,Jimmy Carter,177
38,Ronald Reagan,185
39,George H. W. Bush,188
40,Bill Clinton,188
41,George W. Bush,182
42,Barack Obama,185
